Source Story ID,Epic,Capability,Variant,Priority,Original Release,Original Backlog Item,Original Acceptance Summary,Source Iteration,Current Classification,Mapped Current Stories,Migration Evidence,Implementation Commit Evidence,PR / Merge Evidence,Current Implemented Evidence,Remaining Original Scope,Recommended Next Action,Evidence Confidence,Repository Baseline
E06-03,E06,Calculation Engine,SECURITY & AUDIT,Must,R2,Compile and execute deterministic calculation plans - security and audit,"Role scope, maker-checker, masking and audit evidence are verified.",Iteration 4,PARTIALLY IMPLEMENTED,"S3-03, S3-04, S3-05",V025-V026,c9ada6bad94071d70a6d10fbcfec085d476a6279; f7eb7fa1fc152b8da4088b881f03bff18558d140; db644298ab3197a6931cd9c6b8d9875ef30d28c5,PR #18; merge 73c356662b1888194a72c7006a66bd91443550ca,"Deterministic fixed-component starter calculation, immutable input and configuration lineage, calendar-day proration, persisted results, component trace and controlled recalculation.","Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. The general formula engine, named bases, full dependency compiler, rounding/cap/gross-up policies, additional run types, simulations, parallel calculation and full failure-isolation model are not complete.",Evolve the starter calculator into the approved general calculation engine.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E06-04,E06,Calculation Engine,AUTOMATED TESTS,Must,R2,Compile and execute deterministic calculation plans - automated tests,"Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 4,PARTIALLY IMPLEMENTED,"S3-03, S3-04, S3-05",V025-V026,c9ada6bad94071d70a6d10fbcfec085d476a6279; f7eb7fa1fc152b8da4088b881f03bff18558d140; db644298ab3197a6931cd9c6b8d9875ef30d28c5,PR #18; merge 73c356662b1888194a72c7006a66bd91443550ca,"Deterministic fixed-component starter calculation, immutable input and configuration lineage, calendar-day proration, persisted results, component trace and controlled recalculation.","Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. The general formula engine, named bases, full dependency compiler, rounding/cap/gross-up policies, additional run types, simulations, parallel calculation and full failure-isolation model are not complete.",Evolve the starter calculator into the approved general calculation engine.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E07-02,E07,Balances & Retro,API & EVENT,Must,R2,Maintain balances and retroactive differences - API and event contract,"Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iterations 4 and 7,PARTIALLY IMPLEMENTED,S3-05 and controlled recalculation increment; S4-04 for statutory balances,V026 and V030,db644298ab3197a6931cd9c6b8d9875ef30d28c5; 34a3af93433eb61b801db36c8ff84fe1ccfad874,PR #18 and PR #19,"Controlled recalculation/supersession patterns, signed statutory corrections and statutory cycle/PTD/YTD balance evidence.","The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. General payroll balances, append-only balance movements, chronological retroactive difference calculation, arrears, carry-forwards and retro settlement across payroll periods are not implemented.",Design the complete payroll balance and retro engine as a separate epic increment.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E07-03,E07,Balances & Retro,SECURITY & AUDIT,Must,R2,Maintain balances and retroactive differences - security and audit,"Role scope, maker-checker, masking and audit evidence are verified.",Iterations 4 and 7,PARTIALLY IMPLEMENTED,S3-05 and controlled recalculation increment; S4-04 for statutory balances,V026 and V030,db644298ab3197a6931cd9c6b8d9875ef30d28c5; 34a3af93433eb61b801db36c8ff84fe1ccfad874,PR #18 and PR #19,"Controlled recalculation/supersession patterns, signed statutory corrections and statutory cycle/PTD/YTD balance evidence.","Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. General payroll balances, append-only balance movements, chronological retroactive difference calculation, arrears, carry-forwards and retro settlement across payroll periods are not implemented.",Design the complete payroll balance and retro engine as a separate epic increment.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E07-04,E07,Balances & Retro,AUTOMATED TESTS,Must,R2,Maintain balances and retroactive differences - automated tests,"Unit, integration, regression and negative test cases pass in CI/CD.",Iterations 4 and 7,PARTIALLY IMPLEMENTED,S3-05 and controlled recalculation increment; S4-04 for statutory balances,V026 and V030,db644298ab3197a6931cd9c6b8d9875ef30d28c5; 34a3af93433eb61b801db36c8ff84fe1ccfad874,PR #18 and PR #19,"Controlled recalculation/supersession patterns, signed statutory corrections and statutory cycle/PTD/YTD balance evidence.","Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. General payroll balances, append-only balance movements, chronological retroactive difference calculation, arrears, carry-forwards and retro settlement across payroll periods are not implemented.",Design the complete payroll balance and retro engine as a separate epic increment.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E08-02,E08,Payroll Operations,API & EVENT,Must,R2,"Operate input windows, population freeze, trials and approvals - API and event contract","Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 5,PARTIALLY IMPLEMENTED,"S3-01, S3-02, S3-07",V023-V024,5bc08e440c21bbeeddc3c1bb4e28ad04943ac9cd; 64b4ca7b2a7a53c373b56d5f6767192a000dd60f; 625e38dc1fed649eb37ec6c1d1171f142430403a; 134fe3e63e6b04f2da08df957f4d415a1fd97606; 7fee492bd8899269fe588c9d3ab8202029a8b0b5,PR #18; merge 73c356662b1888194a72c7006a66bd91443550ca,"Controlled regular payroll cycle, population resolution, immutable input snapshots, calculation/recalculation operations, API and operator workspace.","The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. Input-source catalogue, delivery windows, cut-offs, source-owner certification, trial payroll replacement, full approval/lock/release workflow, checklists, resumable partitions and operational reconciliations are incomplete.",Complete the original controlled operating model before production use.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E08-03,E08,Payroll Operations,SECURITY & AUDIT,Must,R2,"Operate input windows, population freeze, trials and approvals - security and audit","Role scope, maker-checker, masking and audit evidence are verified.",Iteration 5,PARTIALLY IMPLEMENTED,"S3-01, S3-02, S3-07",V023-V024,5bc08e440c21bbeeddc3c1bb4e28ad04943ac9cd; 64b4ca7b2a7a53c373b56d5f6767192a000dd60f; 625e38dc1fed649eb37ec6c1d1171f142430403a; 134fe3e63e6b04f2da08df957f4d415a1fd97606; 7fee492bd8899269fe588c9d3ab8202029a8b0b5,PR #18; merge 73c356662b1888194a72c7006a66bd91443550ca,"Controlled regular payroll cycle, population resolution, immutable input snapshots, calculation/recalculation operations, API and operator workspace.","Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. Input-source catalogue, delivery windows, cut-offs, source-owner certification, trial payroll replacement, full approval/lock/release workflow, checklists, resumable partitions and operational reconciliations are incomplete.",Complete the original controlled operating model before production use.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E08-04,E08,Payroll Operations,AUTOMATED TESTS,Must,R2,"Operate input windows, population freeze, trials and approvals - automated tests","Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 5,PARTIALLY IMPLEMENTED,"S3-01, S3-02, S3-07",V023-V024,5bc08e440c21bbeeddc3c1bb4e28ad04943ac9cd; 64b4ca7b2a7a53c373b56d5f6767192a000dd60f; 625e38dc1fed649eb37ec6c1d1171f142430403a; 134fe3e63e6b04f2da08df957f4d415a1fd97606; 7fee492bd8899269fe588c9d3ab8202029a8b0b5,PR #18; merge 73c356662b1888194a72c7006a66bd91443550ca,"Controlled regular payroll cycle, population resolution, immutable input snapshots, calculation/recalculation operations, API and operator workspace.","Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. Input-source catalogue, delivery windows, cut-offs, source-owner certification, trial payroll replacement, full approval/lock/release workflow, checklists, resumable partitions and operational reconciliations are incomplete.",Complete the original controlled operating model before production use.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E09-02,E09,India Statutory Rules,API & EVENT,Must,R2,"Configure wage, PF, ESI, PT, LWF, NPS, gratuity, bonus and TDS rules - API and event contract","Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 6,REQUIRES LEGAL OR DOMAIN REVALIDATION,"S4-01B, S4-02, S4-03, S4-04, S4-05A, S4-05B provide only a jurisdiction-neutral foundation",V027-V030 (generic foundation only),7a98bef0e239972b8200b363138e5b35007948da; 218c099fcbfa4218f4a949673de7268c243e37ed; 49e72119a3daa567ae989af3b237da383cdbaebb; 34a3af93433eb61b801db36c8ff84fe1ccfad874; 206881e088b8a2d4226cee5db9ca079fcb975e7a; 6cf39fc1734a50a514cfee22db2fd78bd41b80cc,PR #19; merge def3dd2e212f85c440eee5497e292be2f1f2bf64,"Jurisdiction-neutral effective-dated rule, profile, assignment, evaluation, ledger, correction, balance and reconciliation foundation.","The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. PF, EPS, EDLI, ESI, PT, LWF, NPS, gratuity, bonus, salary TDS, minimum wage, overtime, deduction limits, legal forms, filing and settlement are explicitly not implemented.",Revalidate Iteration 6 against current authoritative Indian law and notifications before approving detailed stories or calculations.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E09-03,E09,India Statutory Rules,SECURITY & AUDIT,Must,R2,"Configure wage, PF, ESI, PT, LWF, NPS, gratuity, bonus and TDS rules - security and audit","Role scope, maker-checker, masking and audit evidence are verified.",Iteration 6,REQUIRES LEGAL OR DOMAIN REVALIDATION,"S4-01B, S4-02, S4-03, S4-04, S4-05A, S4-05B provide only a jurisdiction-neutral foundation",V027-V030 (generic foundation only),7a98bef0e239972b8200b363138e5b35007948da; 218c099fcbfa4218f4a949673de7268c243e37ed; 49e72119a3daa567ae989af3b237da383cdbaebb; 34a3af93433eb61b801db36c8ff84fe1ccfad874; 206881e088b8a2d4226cee5db9ca079fcb975e7a; 6cf39fc1734a50a514cfee22db2fd78bd41b80cc,PR #19; merge def3dd2e212f85c440eee5497e292be2f1f2bf64,"Jurisdiction-neutral effective-dated rule, profile, assignment, evaluation, ledger, correction, balance and reconciliation foundation.","Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. PF, EPS, EDLI, ESI, PT, LWF, NPS, gratuity, bonus, salary TDS, minimum wage, overtime, deduction limits, legal forms, filing and settlement are explicitly not implemented.",Revalidate Iteration 6 against current authoritative Indian law and notifications before approving detailed stories or calculations.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E09-04,E09,India Statutory Rules,AUTOMATED TESTS,Must,R2,"Configure wage, PF, ESI, PT, LWF, NPS, gratuity, bonus and TDS rules - automated tests","Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 6,REQUIRES LEGAL OR DOMAIN REVALIDATION,"S4-01B, S4-02, S4-03, S4-04, S4-05A, S4-05B provide only a jurisdiction-neutral foundation",V027-V030 (generic foundation only),7a98bef0e239972b8200b363138e5b35007948da; 218c099fcbfa4218f4a949673de7268c243e37ed; 49e72119a3daa567ae989af3b237da383cdbaebb; 34a3af93433eb61b801db36c8ff84fe1ccfad874; 206881e088b8a2d4226cee5db9ca079fcb975e7a; 6cf39fc1734a50a514cfee22db2fd78bd41b80cc,PR #19; merge def3dd2e212f85c440eee5497e292be2f1f2bf64,"Jurisdiction-neutral effective-dated rule, profile, assignment, evaluation, ledger, correction, balance and reconciliation foundation.","Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. PF, EPS, EDLI, ESI, PT, LWF, NPS, gratuity, bonus, salary TDS, minimum wage, overtime, deduction limits, legal forms, filing and settlement are explicitly not implemented.",Revalidate Iteration 6 against current authoritative Indian law and notifications before approving detailed stories or calculations.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E10-02,E10,Off-cycle & Final Settlement,API & EVENT,Must,R3,"Process corrections, off-cycle runs, recoveries and settlement - API and event contract","Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 7,NOT STARTED,None; only reusable correction/recalculation patterns exist,None,None,None,No off-cycle or final-settlement business capability is evidenced.,"The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. Retro corrections, off-cycle runs, reversals, recoveries, advances, negative-net handling, final settlement, legal deadlines and settlement documents.",Create approved design slices after E06-E09 dependencies are stable.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E10-03,E10,Off-cycle & Final Settlement,SECURITY & AUDIT,Must,R3,"Process corrections, off-cycle runs, recoveries and settlement - security and audit","Role scope, maker-checker, masking and audit evidence are verified.",Iteration 7,NOT STARTED,None; only reusable correction/recalculation patterns exist,None,None,None,No off-cycle or final-settlement business capability is evidenced.,"Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. Retro corrections, off-cycle runs, reversals, recoveries, advances, negative-net handling, final settlement, legal deadlines and settlement documents.",Create approved design slices after E06-E09 dependencies are stable.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E10-04,E10,Off-cycle & Final Settlement,AUTOMATED TESTS,Must,R3,"Process corrections, off-cycle runs, recoveries and settlement - automated tests","Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 7,NOT STARTED,None; only reusable correction/recalculation patterns exist,None,None,None,No off-cycle or final-settlement business capability is evidenced.,"Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. Retro corrections, off-cycle runs, reversals, recoveries, advances, negative-net handling, final settlement, legal deadlines and settlement documents.",Create approved design slices after E06-E09 dependencies are stable.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E11-02,E11,Payments,API & EVENT,Must,R3,"Create, approve, submit and reconcile payment batches - API and event contract","Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 8,NOT STARTED,None,None,None,None,No payment execution or banking capability is evidenced.,"The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. Payment entitlement/instructions, employer bank and treasury profiles, routing, batches, maker-checker, files/APIs, submission, acknowledgements, returns, retries and bank reconciliation.",Implement only after approved payroll results and settlement boundaries exist.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E11-03,E11,Payments,SECURITY & AUDIT,Must,R3,"Create, approve, submit and reconcile payment batches - security and audit","Role scope, maker-checker, masking and audit evidence are verified.",Iteration 8,NOT STARTED,None,None,None,None,No payment execution or banking capability is evidenced.,"Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. Payment entitlement/instructions, employer bank and treasury profiles, routing, batches, maker-checker, files/APIs, submission, acknowledgements, returns, retries and bank reconciliation.",Implement only after approved payroll results and settlement boundaries exist.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E11-04,E11,Payments,AUTOMATED TESTS,Must,R3,"Create, approve, submit and reconcile payment batches - automated tests","Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 8,NOT STARTED,None,None,None,None,No payment execution or banking capability is evidenced.,"Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. Payment entitlement/instructions, employer bank and treasury profiles, routing, batches, maker-checker, files/APIs, submission, acknowledgements, returns, retries and bank reconciliation.",Implement only after approved payroll results and settlement boundaries exist.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E12-02,E12,Accounting,API & EVENT,Must,R3,"Generate costing, journals, accruals and ERP reconciliation - API and event contract","Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 9,NOT STARTED,None,None,None,None,No payroll accounting or GL integration capability is evidenced.,"The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. Accounting events, costing, chart-of-account mapping, journals, accruals, reversals, ERP transfer, drill-back and reconciliation.","Design after calculation, payment and correction event contracts are stable.",HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E12-03,E12,Accounting,SECURITY & AUDIT,Must,R3,"Generate costing, journals, accruals and ERP reconciliation - security and audit","Role scope, maker-checker, masking and audit evidence are verified.",Iteration 9,NOT STARTED,None,None,None,None,No payroll accounting or GL integration capability is evidenced.,"Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. Accounting events, costing, chart-of-account mapping, journals, accruals, reversals, ERP transfer, drill-back and reconciliation.","Design after calculation, payment and correction event contracts are stable.",HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E12-04,E12,Accounting,AUTOMATED TESTS,Must,R3,"Generate costing, journals, accruals and ERP reconciliation - automated tests","Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 9,NOT STARTED,None,None,None,None,No payroll accounting or GL integration capability is evidenced.,"Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. Accounting events, costing, chart-of-account mapping, journals, accruals, reversals, ERP transfer, drill-back and reconciliation.","Design after calculation, payment and correction event contracts are stable.",HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E13-02,E13,Payslips & ESS,API & EVENT,Should,R3,Generate and publish secure payroll documents - API and event contract,"Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 10,PARTIALLY IMPLEMENTED,S3-06,Uses calculation evidence through V026; no legal publication aggregate,7fee492bd8899269fe588c9d3ab8202029a8b0b5; d54085b87b6fd7a92b0d3b20a35618ff2f169663,PR #18; merge 73c356662b1888194a72c7006a66bd91443550ca,Persisted-result draft-payslip view clearly marked non-legal and not for payment.,"The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. Immutable published document snapshots, template lifecycle, authenticity, ESS, former-employee access, correction/replacement/revocation and certificates are not implemented.",Keep the draft view separate from the future legal-document lifecycle.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E13-03,E13,Payslips & ESS,SECURITY & AUDIT,Must,R3,Generate and publish secure payroll documents - security and audit,"Role scope, maker-checker, masking and audit evidence are verified.",Iteration 10,PARTIALLY IMPLEMENTED,S3-06,Uses calculation evidence through V026; no legal publication aggregate,7fee492bd8899269fe588c9d3ab8202029a8b0b5; d54085b87b6fd7a92b0d3b20a35618ff2f169663,PR #18; merge 73c356662b1888194a72c7006a66bd91443550ca,Persisted-result draft-payslip view clearly marked non-legal and not for payment.,"Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. Immutable published document snapshots, template lifecycle, authenticity, ESS, former-employee access, correction/replacement/revocation and certificates are not implemented.",Keep the draft view separate from the future legal-document lifecycle.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E13-04,E13,Payslips & ESS,AUTOMATED TESTS,Must,R3,Generate and publish secure payroll documents - automated tests,"Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 10,PARTIALLY IMPLEMENTED,S3-06,Uses calculation evidence through V026; no legal publication aggregate,7fee492bd8899269fe588c9d3ab8202029a8b0b5; d54085b87b6fd7a92b0d3b20a35618ff2f169663,PR #18; merge 73c356662b1888194a72c7006a66bd91443550ca,Persisted-result draft-payslip view clearly marked non-legal and not for payment.,"Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. Immutable published document snapshots, template lifecycle, authenticity, ESS, former-employee access, correction/replacement/revocation and certificates are not implemented.",Keep the draft view separate from the future legal-document lifecycle.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E14-02,E14,Reporting & Communications,API & EVENT,Should,R3,Deliver reconciled reports and employee communications - API and event contract,"Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 10,NOT STARTED,None,None,None,None,Operational evidence reads do not constitute the original reporting and communications epic.,"The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. Reconciled operational/statutory/management reports, analytics, secure distribution, employee communications, delivery evidence and report governance.",Define report catalog and reconciliation authorities after core domains stabilize.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E14-03,E14,Reporting & Communications,SECURITY & AUDIT,Must,R3,Deliver reconciled reports and employee communications - security and audit,"Role scope, maker-checker, masking and audit evidence are verified.",Iteration 10,NOT STARTED,None,None,None,None,Operational evidence reads do not constitute the original reporting and communications epic.,"Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. Reconciled operational/statutory/management reports, analytics, secure distribution, employee communications, delivery evidence and report governance.",Define report catalog and reconciliation authorities after core domains stabilize.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E14-04,E14,Reporting & Communications,AUTOMATED TESTS,Must,R3,Deliver reconciled reports and employee communications - automated tests,"Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 10,NOT STARTED,None,None,None,None,Operational evidence reads do not constitute the original reporting and communications epic.,"Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. Reconciled operational/statutory/management reports, analytics, secure distribution, employee communications, delivery evidence and report governance.",Define report catalog and reconciliation authorities after core domains stabilize.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E15-02,E15,Audit & Security,API & EVENT,Must,R1-R4,"Implement SoD, audit, encryption, retention and incident controls - API and event contract","Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 11,PARTIALLY IMPLEMENTED,"S0-03, S0-05, S0-06, S0-07; S1-00, S1-01, S1-02, S1-05, S1-06; cross-cutting controls in S2-S4","V002, V010-V016 and later tenant/audit controls",b9f6bcf888c4d22c04a237f0a13c37d4d4d24c36; 47654eb11c69838924da172479a4c4d72a5c2729; plus cross-sprint commits,"PR #2, PR #3, PR #18 and PR #19","OIDC permissions, tenant RLS, least privilege, immutable audit, idempotency, outbox/inbox reliability, correlation IDs, secret/dependency scans and architecture gates.","The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. Formal SoD catalog and conflict engine, JML/access reviews, privileged/break-glass access, encryption/key lifecycle, retention/legal hold, incident controls, control testing, governance administration and full BCP operations are incomplete.","Treat E15 as a continuing cross-release program, not a closed foundation task.",HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E15-03,E15,Audit & Security,SECURITY & AUDIT,Must,R1-R4,"Implement SoD, audit, encryption, retention and incident controls - security and audit","Role scope, maker-checker, masking and audit evidence are verified.",Iteration 11,PARTIALLY IMPLEMENTED,"S0-03, S0-05, S0-06, S0-07; S1-00, S1-01, S1-02, S1-05, S1-06; cross-cutting controls in S2-S4","V002, V010-V016 and later tenant/audit controls",b9f6bcf888c4d22c04a237f0a13c37d4d4d24c36; 47654eb11c69838924da172479a4c4d72a5c2729; plus cross-sprint commits,"PR #2, PR #3, PR #18 and PR #19","OIDC permissions, tenant RLS, least privilege, immutable audit, idempotency, outbox/inbox reliability, correlation IDs, secret/dependency scans and architecture gates.","Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. Formal SoD catalog and conflict engine, JML/access reviews, privileged/break-glass access, encryption/key lifecycle, retention/legal hold, incident controls, control testing, governance administration and full BCP operations are incomplete.","Treat E15 as a continuing cross-release program, not a closed foundation task.",HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E15-04,E15,Audit & Security,AUTOMATED TESTS,Must,R1-R4,"Implement SoD, audit, encryption, retention and incident controls - automated tests","Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 11,PARTIALLY IMPLEMENTED,"S0-03, S0-05, S0-06, S0-07; S1-00, S1-01, S1-02, S1-05, S1-06; cross-cutting controls in S2-S4","V002, V010-V016 and later tenant/audit controls",b9f6bcf888c4d22c04a237f0a13c37d4d4d24c36; 47654eb11c69838924da172479a4c4d72a5c2729; plus cross-sprint commits,"PR #2, PR #3, PR #18 and PR #19","OIDC permissions, tenant RLS, least privilege, immutable audit, idempotency, outbox/inbox reliability, correlation IDs, secret/dependency scans and architecture gates.","Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. Formal SoD catalog and conflict engine, JML/access reviews, privileged/break-glass access, encryption/key lifecycle, retention/legal hold, incident controls, control testing, governance administration and full BCP operations are incomplete.","Treat E15 as a continuing cross-release program, not a closed foundation task.",HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E16-02,E16,Migration & Parallel,API & EVENT,Must,R4,Migrate data and complete parallel payroll - API and event contract,"Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 12,NOT STARTED,None; Flyway schema migrations are not business-data migration,None for product migration,None,None,No source-data migration or parallel-payroll program is evidenced.,"The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. Data inventory, profiling, source-to-target mapping, cleansing, migration zones, crosswalks, opening balances, mock conversions, parallel payroll and sign-off.",Start only after target functional scope and production model are stable.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E16-03,E16,Migration & Parallel,SECURITY & AUDIT,Must,R4,Migrate data and complete parallel payroll - security and audit,"Role scope, maker-checker, masking and audit evidence are verified.",Iteration 12,NOT STARTED,None; Flyway schema migrations are not business-data migration,None for product migration,None,None,No source-data migration or parallel-payroll program is evidenced.,"Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. Data inventory, profiling, source-to-target mapping, cleansing, migration zones, crosswalks, opening balances, mock conversions, parallel payroll and sign-off.",Start only after target functional scope and production model are stable.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E16-04,E16,Migration & Parallel,AUTOMATED TESTS,Must,R4,Migrate data and complete parallel payroll - automated tests,"Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 12,NOT STARTED,None; Flyway schema migrations are not business-data migration,None for product migration,None,None,No source-data migration or parallel-payroll program is evidenced.,"Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. Data inventory, profiling, source-to-target mapping, cleansing, migration zones, crosswalks, opening balances, mock conversions, parallel payroll and sign-off.",Start only after target functional scope and production model are stable.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E17-02,E17,Cutover & Hypercare,API & EVENT,Must,R4,Execute rehearsed cutover and first production payroll - API and event contract,"Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 12,NOT STARTED,None,None,None,None,No production cutover or hypercare capability is evidenced.,"The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. Cutover rehearsals, go/no-go, rollback, first production payroll, command centre, hypercare exit, BAU handover and legacy retirement.",Plan after migration/parallel acceptance is complete.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E17-03,E17,Cutover & Hypercare,SECURITY & AUDIT,Must,R4,Execute rehearsed cutover and first production payroll - security and audit,"Role scope, maker-checker, masking and audit evidence are verified.",Iteration 12,NOT STARTED,None,None,None,None,No production cutover or hypercare capability is evidenced.,"Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. Cutover rehearsals, go/no-go, rollback, first production payroll, command centre, hypercare exit, BAU handover and legacy retirement.",Plan after migration/parallel acceptance is complete.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E17-04,E17,Cutover & Hypercare,AUTOMATED TESTS,Must,R4,Execute rehearsed cutover and first production payroll - automated tests,"Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 12,NOT STARTED,None,None,None,None,No production cutover or hypercare capability is evidenced.,"Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. Cutover rehearsals, go/no-go, rollback, first production payroll, command centre, hypercare exit, BAU handover and legacy retirement.",Plan after migration/parallel acceptance is complete.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E18-02,E18,Performance & Resilience,API & EVENT,Must,R2-R4,Scale payroll and recover from failures - API and event contract,"Versioned API, idempotency, correlation IDs and domain event are implemented and tested.","Cross-cutting Iterations 4, 5, 11 and 12",PARTIALLY IMPLEMENTED,"S0-06, S0-07, S0-08; S1-00 and cross-sprint CI/reliability controls",Cross-cutting,Repository/CI baseline and b9f6bcf888c4d22c04a237f0a13c37d4d4d24c36,Baseline plus PR #2-#19,"Automated CI, Testcontainers, idempotency/outbox/inbox foundations, architecture tests, deterministic execution rules and local Compose environment.","The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. 100k+ employee performance evidence, partitioned/resumable workers, capacity model, production observability/SLOs, DR RTO/RPO, failover and resilience exercises.",Create measurable NFR and resilience acceptance program before production transition.,MEDIUM-HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
